algo,run_tag,seed,timesteps,pct_of_training,wall_clock_min,success_rate_within_time_fraction,reached_at_all_rate,avg_steps_to_reach,avg_final_distance,avg_min_distance
ddpg,noise03,2,75000,7.5,9.816666666666666,0.0,0.0,,0.24180653300912897,0.2141950861287018
ddpg,noise03,2,100000,10.0,13.583333333333334,0.0,0.0,,0.21776401225421047,0.19959081206112567
ddpg,noise03,2,125000,12.5,17.091666666666665,0.0,0.0,,0.22104292072979392,0.21362384522530534
ddpg,noise03,2,150000,15.0,20.6,0.0,0.0,,0.19623425501121988,0.16730664490139457
ddpg,noise03,2,175000,17.5,24.075,0.1,0.1,87.0,0.1508591108296872,0.13159761346561052
ddpg,noise03,2,200000,20.0,27.65,0.0,0.0,,0.12118686207807641,0.11082749041477598
ddpg,noise03,2,225000,22.5,31.2,0.5,0.5,80.4,0.07321412474104434,0.05495026793872747
ddpg,noise03,2,250000,25.0,34.983333333333334,0.0,0.0,,0.11227573377925588,0.09025962764993052
ddpg,noise03,2,275000,27.5,38.9,0.3,0.3,96.66666666666667,0.07023817108238742,0.06852011759459466
ddpg,noise03,2,300000,30.0,42.6,0.2,0.2,72.5,0.05335805986532714,0.05064958169915211
ddpg,noise03,2,325000,32.5,46.24166666666667,0.1,0.1,65.0,0.11032959618179261,0.10094713779170839
ddpg,noise03,2,350000,35.0,49.916666666666664,0.3,0.3,88.33333333333333,0.05974599772676681,0.05515956048536306
ddpg,noise03,2,375000,37.5,53.81666666666667,0.2,0.2,86.5,0.05363538040123837,0.04712562982929124
ddpg,noise03,2,400000,40.0,57.5,0.2,0.2,83.0,0.05981636729116639,0.054133448061443365
ddpg,noise03,2,425000,42.5,61.125,0.0,0.0,,0.09656314773996262,0.07658791461401172
ddpg,noise03,2,450000,45.0,64.7,0.1,0.1,92.0,0.08005283157109241,0.06896371144589022
ddpg,noise03,2,475000,47.5,68.29166666666667,0.1,0.1,68.0,0.08368555858930371,0.07169611115597281
ddpg,noise03,2,500000,50.0,71.91666666666667,0.2,0.2,89.0,0.05471781862869821,0.051785152801421055
ddpg,noise03,2,525000,52.5,75.525,0.2,0.2,89.5,0.11467891316347963,0.09476125932758853
